team_id,overall,power,tier,week
1,12,12,5,1
2,11,11,4,1
3,10,10,4,1
4,8,8,3,1
5,9,9,3,1
6,6,6,1,1
7,3,3,1,1
8,4,4,1,1
9,7,7,2,1
10,1,1,1,1
11,5,5,1,1
12,2,2,1,1
1,11,11,5,2
2,9,9,4,2
3,10,12,5,2
4,8,6,2,2
5,12,10,5,2
6,1,3,1,2
7,4,2,1,2
8,6,8,3,2
9,5,7,2,2
10,3,4,1,2
11,7,5,2,2
12,2,1,1,2
1,11,11,5,3
2,10,10,4,3
3,12,12,5,3
4,5,6,2,3
5,8,7,3,3
6,3,4,2,3
7,1,1,1,3
8,9,8,4,3
9,7,9,4,3
10,2,2,1,3
11,6,3,2,3
12,4,5,2,3
1,11,10,4,4
2,7,7,3,4
3,12,12,5,4
4,4,3,1,4
5,9,11,4,4
6,6,6,2,4
7,3,4,1,4
8,10,8,4,4
9,8,9,4,4
10,1,1,1,4
11,5,2,1,4
12,2,5,1,4
1,11,11,3,5
2,8,7,3,5
3,12,12,4,5
4,6,6,2,5
5,10,10,3,5
6,5,5,2,5
7,4,3,1,5
8,7,8,3,5
9,9,9,3,5
10,1,1,1,5
11,2,2,1,5
12,3,4,1,5
